[2026-04-22T14:34:38.984+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7429, completion-tokens, 123, total-tokens, 7552, cost-ms, 7205, requestId, d99e589a-13cd-9174-a22d-f1e92238cf34, temperature, 0
[2026-04-23T11:23:31.948+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7640, completion-tokens, 103, total-tokens, 7743, cost-ms, 4710, requestId, 2c1fcf38-ddcb-9cbe-b6b3-a30d0412bbd4, temperature, 0
[2026-04-23T11:23:34.361+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2432, completion-tokens, 54, total-tokens, 2486, cost-ms, 2123, requestId, f5e2c2dc-aa96-92bb-8be7-2b905f1b844f, temperature, 0
[2026-04-23T11:23:38.980+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7435, completion-tokens, 154, total-tokens, 7589, cost-ms, 4335, requestId, dad88118-1e25-9ed2-8509-46ef31050636, temperature, 0
[2026-04-23T11:23:44.602+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7684, completion-tokens, 151, total-tokens, 7835, cost-ms, 4630, requestId, 2df8a2b6-947f-9800-9ba7-b50cb97725fd, temperature, 0
[2026-04-23T11:23:50.167+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7949, completion-tokens, 158, total-tokens, 8107, cost-ms, 4572, requestId, 8118f15d-90f5-9379-a27e-8a1e9f9c3de0, temperature, 0
[2026-04-23T11:23:54.784+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 8241, completion-tokens, 85, total-tokens, 8326, cost-ms, 3606, requestId, e56b9892-1365-9aa0-aa5a-64b7b52c9a4c, temperature, 0
[2026-04-23T11:23:57.189+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2434, completion-tokens, 62, total-tokens, 2496, cost-ms, 2117, requestId, f17612d2-0cba-9507-a727-8faed3f581e6, temperature, 0
[2026-04-23T11:24:01.219+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7428, completion-tokens, 129, total-tokens, 7557, cost-ms, 3749, requestId, 572cf798-8589-9f59-8480-5febee2a399b, temperature, 0
[2026-04-23T11:24:04.959+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7641, completion-tokens, 69, total-tokens, 7710, cost-ms, 2701, requestId, abcddbc1-97ad-9358-a789-8c2c5072e1a0, temperature, 0
[2026-04-23T11:24:07.725+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2435, completion-tokens, 76, total-tokens, 2511, cost-ms, 2478, requestId, dfc20ef9-9e82-9e0a-8bd5-2cec868313f0, temperature, 0
[2026-04-23T11:24:47.585+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7430, completion-tokens, 134, total-tokens, 7564, cost-ms, 4417, requestId, c6aa1270-e201-9723-988b-38532e0dd37e, temperature, 0
[2026-04-23T11:24:52.557+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7651, completion-tokens, 94, total-tokens, 7745, cost-ms, 4002, requestId, 47ef57cb-3e29-98c9-99de-421c4c55ecdf, temperature, 0
[2026-04-23T11:25:00.239+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7839, completion-tokens, 63, total-tokens, 7902, cost-ms, 4105, requestId, 9b6ab00e-5c17-9a73-8c05-d17f44b5193d, temperature, 0
[2026-04-23T11:25:04.941+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7431, completion-tokens, 136, total-tokens, 7567, cost-ms, 4440, requestId, 2c00cf2b-d61f-9a10-82c7-c62e4409d999, temperature, 0
[2026-04-23T11:25:08.642+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7654, completion-tokens, 77, total-tokens, 7731, cost-ms, 2755, requestId, a7419d6a-1312-9e36-bed2-5b304f519c8e, temperature, 0
[2026-04-23T11:25:14.930+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7828, completion-tokens, 59, total-tokens, 7887, cost-ms, 4225, requestId, 3eff3d10-38e5-9a30-a969-124afc7cdb95, temperature, 0
[2026-04-23T11:25:19.403+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7428, completion-tokens, 128, total-tokens, 7556, cost-ms, 4222, requestId, 980604ea-e47d-9234-8058-6a4107a5a036, temperature, 0
[2026-04-23T11:25:23.525+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7640, completion-tokens, 93, total-tokens, 7733, cost-ms, 3102, requestId, a28c96d1-239c-91d7-bf46-f9a77b0c0f72, temperature, 0
[2026-04-23T11:25:25.962+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2432, completion-tokens, 54, total-tokens, 2486, cost-ms, 2154, requestId, 6d9562c5-e2de-911d-9879-0ebe6caa2b69, temperature, 0
[2026-04-23T11:25:35.004+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7435, completion-tokens, 189, total-tokens, 7624, cost-ms, 8737, requestId, 16865f10-6689-9a8e-9acf-2a298a80ef5b, temperature, 0
[2026-04-23T11:25:41.757+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7719, completion-tokens, 151, total-tokens, 7870, cost-ms, 5749, requestId, e70d090d-f6b2-95fe-a6f6-ac72306e5b55, temperature, 0
[2026-04-23T11:25:47.211+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7984, completion-tokens, 159, total-tokens, 8143, cost-ms, 4456, requestId, 3cd63fac-2d20-9399-a408-e8cea26db2ca, temperature, 0
[2026-04-23T11:25:52.456+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 8277, completion-tokens, 96, total-tokens, 8373, cost-ms, 4256, requestId, 9457817c-70aa-9822-953e-ac4cd0f5a957, temperature, 0
[2026-04-23T11:25:55.089+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2434, completion-tokens, 62, total-tokens, 2496, cost-ms, 2335, requestId, 405d34be-d2d0-9375-b2ac-cbe33204dccc, temperature, 0
[2026-04-23T11:25:59.180+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7428, completion-tokens, 129, total-tokens, 7557, cost-ms, 3778, requestId, 3ab5d28a-81ce-9c38-99a8-58fb724a79b6, temperature, 0
[2026-04-23T11:26:03.057+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 7641, completion-tokens, 75, total-tokens, 7716, cost-ms, 2855, requestId, 4e63c8f1-16ba-9ddf-af65-24ca79433abe, temperature, 0
[2026-04-23T11:26:06.016+08:00] model, qwen3.5-plus, mode, qwen3.5, ui-tars-version, undefined, prompt-tokens, 2435, completion-tokens, 87, total-tokens, 2522, cost-ms, 2686, requestId, 920c4207-de20-98f2-acab-a922030a4f53, temperature, 0
